pathway,pathway_neat,gene
MP34 Platelet-activation,Platelet-activation,CCND3
MP34 Platelet-activation,Platelet-activation,FCER1A
MP34 Platelet-activation,Platelet-activation,FCER1G
MP34 Platelet-activation,Platelet-activation,FLI1
MP34 Platelet-activation,Platelet-activation,GATA2
MP34 Platelet-activation,Platelet-activation,GUCY1B3
MP34 Platelet-activation,Platelet-activation,PRKAR2B
MP34 Platelet-activation,Platelet-activation,TGFB1
MP34 Platelet-activation,Platelet-activation,TPM4
MP34 Platelet-activation,Platelet-activation,VASP
MP34 Platelet-activation,Platelet-activation,RAB27B
MP34 Platelet-activation,Platelet-activation,PIM1
MP34 Platelet-activation,Platelet-activation,CD36
MP34 Platelet-activation,Platelet-activation,LGALS1
MP34 Platelet-activation,Platelet-activation,CKB
MP35 Hemato-related-I,Hemato-related-I,CSF3R
MP35 Hemato-related-I,Hemato-related-I,SPINK2
MP35 Hemato-related-I,Hemato-related-I,VAMP5
MP35 Hemato-related-I,Hemato-related-I,AZU1
MP35 Hemato-related-I,Hemato-related-I,SELL
MP35 Hemato-related-I,Hemato-related-I,C1QTNF4
MP35 Hemato-related-I,Hemato-related-I,CFD
MP35 Hemato-related-I,Hemato-related-I,CTSG
MP35 Hemato-related-I,Hemato-related-I,ELANE
MP35 Hemato-related-I,Hemato-related-I,HOPX
MP35 Hemato-related-I,Hemato-related-I,ITM2C
MP35 Hemato-related-I,Hemato-related-I,NPDC1
MP35 Hemato-related-I,Hemato-related-I,AVP
MP35 Hemato-related-I,Hemato-related-I,C1ORF228
MP35 Hemato-related-I,Hemato-related-I,CD52
MP35 Hemato-related-I,Hemato-related-I,CLEC11A
MP35 Hemato-related-I,Hemato-related-I,CRHBP
MP35 Hemato-related-I,Hemato-related-I,CST7
MP35 Hemato-related-I,Hemato-related-I,MBOAT7
MP35 Hemato-related-I,Hemato-related-I,MDK
MP35 Hemato-related-I,Hemato-related-I,PLAC8
MP35 Hemato-related-I,Hemato-related-I,PRTN3
MP35 Hemato-related-I,Hemato-related-I,RNASE2
MP35 Hemato-related-I,Hemato-related-I,BAALC
MP35 Hemato-related-I,Hemato-related-I,BST2
MP35 Hemato-related-I,Hemato-related-I,C19ORF77
MP35 Hemato-related-I,Hemato-related-I,CD44
MP35 Hemato-related-I,Hemato-related-I,GLIPR1
MP35 Hemato-related-I,Hemato-related-I,ICAM3
MP35 Hemato-related-I,Hemato-related-I,KLF6
MP35 Hemato-related-I,Hemato-related-I,MPO
MP35 Hemato-related-I,Hemato-related-I,MS4A3
MP35 Hemato-related-I,Hemato-related-I,PRSS57
MP35 Hemato-related-I,Hemato-related-I,RAB32
MP35 Hemato-related-I,Hemato-related-I,SRGN
MP35 Hemato-related-I,Hemato-related-I,TSC22D3
MP35 Hemato-related-I,Hemato-related-I,ZFP36L2
MP35 Hemato-related-I,Hemato-related-I,FOS
MP35 Hemato-related-I,Hemato-related-I,SERPINB1
MP35 Hemato-related-I,Hemato-related-I,IGLL1
MP35 Hemato-related-I,Hemato-related-I,LYZ
MP35 Hemato-related-I,Hemato-related-I,MGST1
MP35 Hemato-related-I,Hemato-related-I,TNFSF13B
MP35 Hemato-related-I,Hemato-related-I,HLA-DQB1
MP35 Hemato-related-I,Hemato-related-I,CD74
MP35 Hemato-related-I,Hemato-related-I,PTPRCAP
MP35 Hemato-related-I,Hemato-related-I,ANKRD28
MP35 Hemato-related-I,Hemato-related-I,CD34
MP35 Hemato-related-I,Hemato-related-I,CPA3
MP35 Hemato-related-I,Hemato-related-I,KIAA0125
MP36 IG,Immunoglobulin,IGLC2
MP36 IG,Immunoglobulin,IGLC3
MP36 IG,Immunoglobulin,IGHA2
MP36 IG,Immunoglobulin,IGHA1
MP36 IG,Immunoglobulin,IGHG4
MP36 IG,Immunoglobulin,IGKC
MP36 IG,Immunoglobulin,CD79A
MP36 IG,Immunoglobulin,IGHG1
MP36 IG,Immunoglobulin,IGHG3
MP36 IG,Immunoglobulin,IGHG2
MP36 IG,Immunoglobulin,IGHGP
MP36 IG,Immunoglobulin,IGLJ2
MP36 IG,Immunoglobulin,IGLC1
MP36 IG,Immunoglobulin,DERL3
MP36 IG,Immunoglobulin,IGHM
MP36 IG,Immunoglobulin,IGLC7
MP36 IG,Immunoglobulin,SELENOM
MP36 IG,Immunoglobulin,CD63
MP36 IG,Immunoglobulin,IGLV3-1
MP36 IG,Immunoglobulin,IGLV3-7
MP36 IG,Immunoglobulin,IGLV6-57
MP36 IG,Immunoglobulin,JSRP1
MP36 IG,Immunoglobulin,CCPG1
MP36 IG,Immunoglobulin,DNAJB9
MP36 IG,Immunoglobulin,IGKV1-12
MP36 IG,Immunoglobulin,IGLJ1
MP36 IG,Immunoglobulin,KLF6
MP36 IG,Immunoglobulin,TSC22D3
MP36 IG,Immunoglobulin,AC134669.2
MP36 IG,Immunoglobulin,ADA2
MP36 IG,Immunoglobulin,CD27
MP36 IG,Immunoglobulin,CITED2
MP36 IG,Immunoglobulin,FCRL5
MP36 IG,Immunoglobulin,HERPUD1
MP36 IG,Immunoglobulin,HLA-F
MP36 IG,Immunoglobulin,IGKV4-1
MP36 IG,Immunoglobulin,IGLC5
MP36 IG,Immunoglobulin,IGLC6
MP36 IG,Immunoglobulin,IGLJ3
MP36 IG,Immunoglobulin,IGLL5
MP36 IG,Immunoglobulin,IGLV3-21
MP36 IG,Immunoglobulin,ITGB7
MP36 IG,Immunoglobulin,JCHAIN
MP36 IG,Immunoglobulin,TXNIP
MP36 IG,Immunoglobulin,MIR4539
MP36 IG,Immunoglobulin,SEL1L3
MP36 IG,Immunoglobulin,PRDX4
MP36 IG,Immunoglobulin,IRF4
MP36 IG,Immunoglobulin,MAN1A2
MP36 IG,Immunoglobulin,TNFRSF17
MP37 Hemato-related-II,Hemato-related-II,CTNNBL1
MP37 Hemato-related-II,Hemato-related-II,FCER1A
MP37 Hemato-related-II,Hemato-related-II,GATA2
MP37 Hemato-related-II,Hemato-related-II,CD84
MP37 Hemato-related-II,Hemato-related-II,PDZD8
MP37 Hemato-related-II,Hemato-related-II,SLC40A1
MP37 Hemato-related-II,Hemato-related-II,TESPA1
MP37 Hemato-related-II,Hemato-related-II,ZMYND8
MP37 Hemato-related-II,Hemato-related-II,CYTL1
MP37 Hemato-related-II,Hemato-related-II,MINPP1
MP37 Hemato-related-II,Hemato-related-II,PDCD4
MP37 Hemato-related-II,Hemato-related-II,PKIG
MP37 Hemato-related-II,Hemato-related-II,RP11-354E11.2
MP37 Hemato-related-II,Hemato-related-II,SOD2
MP37 Hemato-related-II,Hemato-related-II,STAM
MP37 Hemato-related-II,Hemato-related-II,ABCC4
MP37 Hemato-related-II,Hemato-related-II,ALDH1A1
MP37 Hemato-related-II,Hemato-related-II,ATP6V0A2
MP37 Hemato-related-II,Hemato-related-II,CD82
MP37 Hemato-related-II,Hemato-related-II,CNRIP1
MP37 Hemato-related-II,Hemato-related-II,CPA3
MP37 Hemato-related-II,Hemato-related-II,CPPED1
MP37 Hemato-related-II,Hemato-related-II,DEPTOR
MP37 Hemato-related-II,Hemato-related-II,GMPR
MP37 Hemato-related-II,Hemato-related-II,HBD
MP37 Hemato-related-II,Hemato-related-II,HPGDS
MP37 Hemato-related-II,Hemato-related-II,IL1B
MP37 Hemato-related-II,Hemato-related-II,KLF1
MP37 Hemato-related-II,Hemato-related-II,LXN
MP37 Hemato-related-II,Hemato-related-II,NFE2
MP37 Hemato-related-II,Hemato-related-II,PLEK
MP37 Hemato-related-II,Hemato-related-II,PLIN2
MP37 Hemato-related-II,Hemato-related-II,RAB37
MP37 Hemato-related-II,Hemato-related-II,RGS18
MP37 Hemato-related-II,Hemato-related-II,TPSB2
MP37 Hemato-related-II,Hemato-related-II,ZEB2
MP37 Hemato-related-II,Hemato-related-II,STXBP6
MP37 Hemato-related-II,Hemato-related-II,KCNQ1OT1
MP37 Hemato-related-II,Hemato-related-II,BMP2K
MP37 Hemato-related-II,Hemato-related-II,EREG
MP37 Hemato-related-II,Hemato-related-II,LINC00152
MP37 Hemato-related-II,Hemato-related-II,FREM1
MP37 Hemato-related-II,Hemato-related-II,PBX1
MP37 Hemato-related-II,Hemato-related-II,PDLIM1
MP37 Hemato-related-II,Hemato-related-II,MPP1
MP37 Hemato-related-II,Hemato-related-II,SOX4
MP37 Hemato-related-II,Hemato-related-II,FAM117A
MP37 Hemato-related-II,Hemato-related-II,FAM19A2
MP37 Hemato-related-II,Hemato-related-II,ICAM4
MP37 Hemato-related-II,Hemato-related-II,CASP3
MP38 Glutathione,Glutathione,NAT8
MP38 Glutathione,Glutathione,ACSM2B
MP38 Glutathione,Glutathione,LGALS2
MP38 Glutathione,Glutathione,AMN
MP38 Glutathione,Glutathione,BBOX1
MP38 Glutathione,Glutathione,KHK
MP38 Glutathione,Glutathione,MIOX
MP38 Glutathione,Glutathione,SMIM24
MP38 Glutathione,Glutathione,AQP1
MP38 Glutathione,Glutathione,C11ORF54
MP38 Glutathione,Glutathione,CUBN
MP38 Glutathione,Glutathione,GSTA1
MP38 Glutathione,Glutathione,GLYAT
MP38 Glutathione,Glutathione,ACSM2A
MP38 Glutathione,Glutathione,AOC1
MP38 Glutathione,Glutathione,APOM
MP38 Glutathione,Glutathione,GAL3ST1
MP38 Glutathione,Glutathione,GSTA2
MP38 Glutathione,Glutathione,SLC6A13
MP38 Glutathione,Glutathione,AZGP1
MP38 Glutathione,Glutathione,GLYATL1
MP38 Glutathione,Glutathione,LRP2
MP38 Glutathione,Glutathione,PCSK1N
MP38 Glutathione,Glutathione,PEPD
MP38 Glutathione,Glutathione,SLC17A3
MP38 Glutathione,Glutathione,SLC5A12
MP38 Glutathione,Glutathione,CDHR5
MP38 Glutathione,Glutathione,MSRA
MP38 Glutathione,Glutathione,PDZK1
MP38 Glutathione,Glutathione,PXMP2
MP38 Glutathione,Glutathione,SLC16A9
MP38 Glutathione,Glutathione,SLC22A18
MP38 Glutathione,Glutathione,AGT
MP38 Glutathione,Glutathione,CES2
MP38 Glutathione,Glutathione,CLDN10
MP38 Glutathione,Glutathione,DDC
MP38 Glutathione,Glutathione,TMEM27
MP38 Glutathione,Glutathione,TNFAIP6
MP38 Glutathione,Glutathione,AGXT2
MP38 Glutathione,Glutathione,CFI
MP38 Glutathione,Glutathione,FOLR1
MP38 Glutathione,Glutathione,GAMT
MP38 Glutathione,Glutathione,HRSP12
MP38 Glutathione,Glutathione,RBP5
MP38 Glutathione,Glutathione,TSPAN1
MP38 Glutathione,Glutathione,GPX3
MP38 Glutathione,Glutathione,CXCL14
MP38 Glutathione,Glutathione,PRAP1
MP38 Glutathione,Glutathione,LACTB2
MP38 Glutathione,Glutathione,GCHFR
MP39 Metal-response,Metal-response,MT1X
MP39 Metal-response,Metal-response,CAV1
MP39 Metal-response,Metal-response,MT1E
MP39 Metal-response,Metal-response,C5ORF46
MP39 Metal-response,Metal-response,TGFBI
MP39 Metal-response,Metal-response,CEBPB
MP39 Metal-response,Metal-response,CKB
MP39 Metal-response,Metal-response,EPB41L4A-AS1
MP39 Metal-response,Metal-response,IGFBP5
MP39 Metal-response,Metal-response,LGALS1
MP39 Metal-response,Metal-response,LOX
MP39 Metal-response,Metal-response,MT1M
MP39 Metal-response,Metal-response,MT2A
MP39 Metal-response,Metal-response,MT3
MP39 Metal-response,Metal-response,NOL3
MP39 Metal-response,Metal-response,STC1
MP39 Metal-response,Metal-response,TUBA1A
MP39 Metal-response,Metal-response,C10ORF10
MP39 Metal-response,Metal-response,C1S
MP39 Metal-response,Metal-response,CP
MP39 Metal-response,Metal-response,DDIT4
MP39 Metal-response,Metal-response,EMP3
MP39 Metal-response,Metal-response,GLUL
MP39 Metal-response,Metal-response,MT1F
MP39 Metal-response,Metal-response,NPTX2
MP39 Metal-response,Metal-response,PLP2
MP39 Metal-response,Metal-response,SMIM3
MP39 Metal-response,Metal-response,SNHG7
MP39 Metal-response,Metal-response,SOX4
MP39 Metal-response,Metal-response,BGN
MP39 Metal-response,Metal-response,EDN1
MP39 Metal-response,Metal-response,ID1
MP39 Metal-response,Metal-response,ID4
MP39 Metal-response,Metal-response,IER2
MP39 Metal-response,Metal-response,MT1A
MP39 Metal-response,Metal-response,PMP22
MP39 Metal-response,Metal-response,RSL24D1
MP39 Metal-response,Metal-response,TSC22D3
MP39 Metal-response,Metal-response,VCAM1
MP39 Metal-response,Metal-response,VCAN
MP39 Metal-response,Metal-response,FSTL3
MP39 Metal-response,Metal-response,TMEM45A
MP39 Metal-response,Metal-response,ZBTB16
MP39 Metal-response,Metal-response,TMEM91
MP39 Metal-response,Metal-response,FKBP5
MP39 Metal-response,Metal-response,S100A6
MP39 Metal-response,Metal-response,C1R
MP39 Metal-response,Metal-response,MMP7
MP39 Metal-response,Metal-response,KLF4
MP39 Metal-response,Metal-response,ANXA1
MP40 PDAC-related,PDAC-related,ISG20
MP40 PDAC-related,PDAC-related,KLK10
MP40 PDAC-related,PDAC-related,CEACAM1
MP40 PDAC-related,PDAC-related,F3
MP40 PDAC-related,PDAC-related,LMO7
MP40 PDAC-related,PDAC-related,PLAUR
MP40 PDAC-related,PDAC-related,SLPI
MP40 PDAC-related,PDAC-related,ANKRD36C
MP40 PDAC-related,PDAC-related,CD55
MP40 PDAC-related,PDAC-related,CEACAM6
MP40 PDAC-related,PDAC-related,EPS8L1
MP40 PDAC-related,PDAC-related,LCN2
MP40 PDAC-related,PDAC-related,PSCA
MP40 PDAC-related,PDAC-related,TIMP2
MP40 PDAC-related,PDAC-related,C15ORF48
MP40 PDAC-related,PDAC-related,KLF2
MP40 PDAC-related,PDAC-related,KLK6
MP40 PDAC-related,PDAC-related,KLK7
MP40 PDAC-related,PDAC-related,KRT23
MP40 PDAC-related,PDAC-related,LAMC2
MP40 PDAC-related,PDAC-related,S100A4
MP40 PDAC-related,PDAC-related,TNFRSF12A
MP40 PDAC-related,PDAC-related,ALDH1A3
MP40 PDAC-related,PDAC-related,ANXA1
MP40 PDAC-related,PDAC-related,APOL1
MP40 PDAC-related,PDAC-related,CLDN23
MP40 PDAC-related,PDAC-related,CLIC3
MP40 PDAC-related,PDAC-related,COL6A1
MP40 PDAC-related,PDAC-related,CST6
MP40 PDAC-related,PDAC-related,EMP1
MP40 PDAC-related,PDAC-related,FLNB
MP40 PDAC-related,PDAC-related,IL1RN
MP40 PDAC-related,PDAC-related,IL32
MP40 PDAC-related,PDAC-related,KLK11
MP40 PDAC-related,PDAC-related,KRT16
MP40 PDAC-related,PDAC-related,KRT17
MP40 PDAC-related,PDAC-related,LDLR
MP40 PDAC-related,PDAC-related,MALL
MP40 PDAC-related,PDAC-related,MMP7
MP40 PDAC-related,PDAC-related,RAB11FIP1
MP40 PDAC-related,PDAC-related,SLC16A3
MP40 PDAC-related,PDAC-related,TFF2
MP40 PDAC-related,PDAC-related,CEACAM5
MP40 PDAC-related,PDAC-related,MUC5AC
MP40 PDAC-related,PDAC-related,SDCBP2
MP40 PDAC-related,PDAC-related,SMIM5
MP40 PDAC-related,PDAC-related,ISG15
MP40 PDAC-related,PDAC-related,SLC2A1
MP40 PDAC-related,PDAC-related,LRRC8A
MP40 PDAC-related,PDAC-related,MT1X
BIOCARTA_DEATH_PATHWAY,,APAF1
BIOCARTA_DEATH_PATHWAY,,BCL2
BIOCARTA_DEATH_PATHWAY,,BID
BIOCARTA_DEATH_PATHWAY,,BIRC2
BIOCARTA_DEATH_PATHWAY,,BIRC3
BIOCARTA_DEATH_PATHWAY,,CASP10
BIOCARTA_DEATH_PATHWAY,,CASP3
BIOCARTA_DEATH_PATHWAY,,CASP6
BIOCARTA_DEATH_PATHWAY,,CASP7
BIOCARTA_DEATH_PATHWAY,,CASP8
BIOCARTA_DEATH_PATHWAY,,CASP9
BIOCARTA_DEATH_PATHWAY,,CFLAR
BIOCARTA_DEATH_PATHWAY,,CHUK
BIOCARTA_DEATH_PATHWAY,,DFFA
BIOCARTA_DEATH_PATHWAY,,DFFB
BIOCARTA_DEATH_PATHWAY,,FADD
BIOCARTA_DEATH_PATHWAY,,GAS2
BIOCARTA_DEATH_PATHWAY,,LMNA
BIOCARTA_DEATH_PATHWAY,,MAP3K14
BIOCARTA_DEATH_PATHWAY,,MAP3K14
BIOCARTA_DEATH_PATHWAY,,NFKB1
BIOCARTA_DEATH_PATHWAY,,NFKBIA
BIOCARTA_DEATH_PATHWAY,,RELA
BIOCARTA_DEATH_PATHWAY,,RIPK1
BIOCARTA_DEATH_PATHWAY,,SPTAN1
BIOCARTA_DEATH_PATHWAY,,TNFRSF25
BIOCARTA_DEATH_PATHWAY,,TNFSF10
BIOCARTA_DEATH_PATHWAY,,TRADD
BIOCARTA_DEATH_PATHWAY,,TRAF2
BIOCARTA_DEATH_PATHWAY,,XIAP
REACTOME_PROGRAMMED_CELL_DEATH,,ACIN1
REACTOME_PROGRAMMED_CELL_DEATH,,ADD1
REACTOME_PROGRAMMED_CELL_DEATH,,AKT1
REACTOME_PROGRAMMED_CELL_DEATH,,AKT2
REACTOME_PROGRAMMED_CELL_DEATH,,AKT3
REACTOME_PROGRAMMED_CELL_DEATH,,APAF1
REACTOME_PROGRAMMED_CELL_DEATH,,APC
REACTOME_PROGRAMMED_CELL_DEATH,,APIP
REACTOME_PROGRAMMED_CELL_DEATH,,APPL1
REACTOME_PROGRAMMED_CELL_DEATH,,ARHGAP10
REACTOME_PROGRAMMED_CELL_DEATH,,AVEN
REACTOME_PROGRAMMED_CELL_DEATH,,BAD
REACTOME_PROGRAMMED_CELL_DEATH,,BAK1
REACTOME_PROGRAMMED_CELL_DEATH,,BAX
REACTOME_PROGRAMMED_CELL_DEATH,,BBC3
REACTOME_PROGRAMMED_CELL_DEATH,,BCAP31
REACTOME_PROGRAMMED_CELL_DEATH,,BCL2
REACTOME_PROGRAMMED_CELL_DEATH,,BCL2L1
REACTOME_PROGRAMMED_CELL_DEATH,,BCL2L11
REACTOME_PROGRAMMED_CELL_DEATH,,BID
REACTOME_PROGRAMMED_CELL_DEATH,,BIRC2
REACTOME_PROGRAMMED_CELL_DEATH,,BIRC3
REACTOME_PROGRAMMED_CELL_DEATH,,BMF
REACTOME_PROGRAMMED_CELL_DEATH,,BMX
REACTOME_PROGRAMMED_CELL_DEATH,,C1QBP
REACTOME_PROGRAMMED_CELL_DEATH,,CARD8
REACTOME_PROGRAMMED_CELL_DEATH,,CASP1
REACTOME_PROGRAMMED_CELL_DEATH,,CASP3
REACTOME_PROGRAMMED_CELL_DEATH,,CASP4
REACTOME_PROGRAMMED_CELL_DEATH,,CASP5
REACTOME_PROGRAMMED_CELL_DEATH,,CASP6
REACTOME_PROGRAMMED_CELL_DEATH,,CASP7
REACTOME_PROGRAMMED_CELL_DEATH,,CASP8
REACTOME_PROGRAMMED_CELL_DEATH,,CASP9
REACTOME_PROGRAMMED_CELL_DEATH,,CD14
REACTOME_PROGRAMMED_CELL_DEATH,,CDC37
REACTOME_PROGRAMMED_CELL_DEATH,,CDH1
REACTOME_PROGRAMMED_CELL_DEATH,,CDKN2A
REACTOME_PROGRAMMED_CELL_DEATH,,CFLAR
REACTOME_PROGRAMMED_CELL_DEATH,,CHMP2A
REACTOME_PROGRAMMED_CELL_DEATH,,CHMP2B
REACTOME_PROGRAMMED_CELL_DEATH,,CHMP3
REACTOME_PROGRAMMED_CELL_DEATH,,CHMP4A
REACTOME_PROGRAMMED_CELL_DEATH,,CHMP4B
REACTOME_PROGRAMMED_CELL_DEATH,,CHMP4C
REACTOME_PROGRAMMED_CELL_DEATH,,CHMP6
REACTOME_PROGRAMMED_CELL_DEATH,,CHMP7
REACTOME_PROGRAMMED_CELL_DEATH,,CLSPN
REACTOME_PROGRAMMED_CELL_DEATH,,CTNNB1
REACTOME_PROGRAMMED_CELL_DEATH,,CYCS
REACTOME_PROGRAMMED_CELL_DEATH,,DAPK1
REACTOME_PROGRAMMED_CELL_DEATH,,DAPK2
REACTOME_PROGRAMMED_CELL_DEATH,,DAPK3
REACTOME_PROGRAMMED_CELL_DEATH,,DBNL
REACTOME_PROGRAMMED_CELL_DEATH,,DCC
REACTOME_PROGRAMMED_CELL_DEATH,,DFFA
REACTOME_PROGRAMMED_CELL_DEATH,,DFFB
REACTOME_PROGRAMMED_CELL_DEATH,,DIABLO
REACTOME_PROGRAMMED_CELL_DEATH,,DNM1L
REACTOME_PROGRAMMED_CELL_DEATH,,DSG1
REACTOME_PROGRAMMED_CELL_DEATH,,DSG2
REACTOME_PROGRAMMED_CELL_DEATH,,DSG3
REACTOME_PROGRAMMED_CELL_DEATH,,DSP
REACTOME_PROGRAMMED_CELL_DEATH,,DYNLL1
REACTOME_PROGRAMMED_CELL_DEATH,,DYNLL2
REACTOME_PROGRAMMED_CELL_DEATH,,E2F1
REACTOME_PROGRAMMED_CELL_DEATH,,ELANE
REACTOME_PROGRAMMED_CELL_DEATH,,FADD
REACTOME_PROGRAMMED_CELL_DEATH,,FAS
REACTOME_PROGRAMMED_CELL_DEATH,,FASLG
REACTOME_PROGRAMMED_CELL_DEATH,,FLOT1
REACTOME_PROGRAMMED_CELL_DEATH,,FLOT2
REACTOME_PROGRAMMED_CELL_DEATH,,FNTA
REACTOME_PROGRAMMED_CELL_DEATH,,GAS2
REACTOME_PROGRAMMED_CELL_DEATH,,GSDMD
REACTOME_PROGRAMMED_CELL_DEATH,,GSDME
REACTOME_PROGRAMMED_CELL_DEATH,,GSN
REACTOME_PROGRAMMED_CELL_DEATH,,GZMB
REACTOME_PROGRAMMED_CELL_DEATH,,H1-0
REACTOME_PROGRAMMED_CELL_DEATH,,H1-1
REACTOME_PROGRAMMED_CELL_DEATH,,H1-2
REACTOME_PROGRAMMED_CELL_DEATH,,H1-3
REACTOME_PROGRAMMED_CELL_DEATH,,H1-4
REACTOME_PROGRAMMED_CELL_DEATH,,H1-5
REACTOME_PROGRAMMED_CELL_DEATH,,HMGB1
REACTOME_PROGRAMMED_CELL_DEATH,,HMGB2
REACTOME_PROGRAMMED_CELL_DEATH,,HSP90AA1
REACTOME_PROGRAMMED_CELL_DEATH,,IL18
REACTOME_PROGRAMMED_CELL_DEATH,,IL1A
REACTOME_PROGRAMMED_CELL_DEATH,,IL1B
REACTOME_PROGRAMMED_CELL_DEATH,,IRF1
REACTOME_PROGRAMMED_CELL_DEATH,,IRF2
REACTOME_PROGRAMMED_CELL_DEATH,,KPNA1
REACTOME_PROGRAMMED_CELL_DEATH,,KPNB1
REACTOME_PROGRAMMED_CELL_DEATH,,LMNA
REACTOME_PROGRAMMED_CELL_DEATH,,LMNB1
REACTOME_PROGRAMMED_CELL_DEATH,,LY96
REACTOME_PROGRAMMED_CELL_DEATH,,MAGED1
REACTOME_PROGRAMMED_CELL_DEATH,,MAPK1
REACTOME_PROGRAMMED_CELL_DEATH,,MAPK3
REACTOME_PROGRAMMED_CELL_DEATH,,MAPK8
REACTOME_PROGRAMMED_CELL_DEATH,,MAPT
REACTOME_PROGRAMMED_CELL_DEATH,,MLKL
REACTOME_PROGRAMMED_CELL_DEATH,,NMT1
REACTOME_PROGRAMMED_CELL_DEATH,,OCLN
REACTOME_PROGRAMMED_CELL_DEATH,,OGT
REACTOME_PROGRAMMED_CELL_DEATH,,OMA1
REACTOME_PROGRAMMED_CELL_DEATH,,OPA1
REACTOME_PROGRAMMED_CELL_DEATH,,PAK2
REACTOME_PROGRAMMED_CELL_DEATH,,PDCD6IP
REACTOME_PROGRAMMED_CELL_DEATH,,PELI1
REACTOME_PROGRAMMED_CELL_DEATH,,PKP1
REACTOME_PROGRAMMED_CELL_DEATH,,PLEC
REACTOME_PROGRAMMED_CELL_DEATH,,PMAIP1
REACTOME_PROGRAMMED_CELL_DEATH,,PPP1R13B
REACTOME_PROGRAMMED_CELL_DEATH,,PPP3CC
REACTOME_PROGRAMMED_CELL_DEATH,,PPP3R1
REACTOME_PROGRAMMED_CELL_DEATH,,PRKCD
REACTOME_PROGRAMMED_CELL_DEATH,,PRKCQ
REACTOME_PROGRAMMED_CELL_DEATH,,PSMA1
REACTOME_PROGRAMMED_CELL_DEATH,,PSMA2
REACTOME_PROGRAMMED_CELL_DEATH,,PSMA3
REACTOME_PROGRAMMED_CELL_DEATH,,PSMA4
REACTOME_PROGRAMMED_CELL_DEATH,,PSMA5
REACTOME_PROGRAMMED_CELL_DEATH,,PSMA6
REACTOME_PROGRAMMED_CELL_DEATH,,PSMA7
REACTOME_PROGRAMMED_CELL_DEATH,,PSMA8
REACTOME_PROGRAMMED_CELL_DEATH,,PSMB1
REACTOME_PROGRAMMED_CELL_DEATH,,PSMB10
REACTOME_PROGRAMMED_CELL_DEATH,,PSMB11
REACTOME_PROGRAMMED_CELL_DEATH,,PSMB2
REACTOME_PROGRAMMED_CELL_DEATH,,PSMB3
REACTOME_PROGRAMMED_CELL_DEATH,,PSMB4
REACTOME_PROGRAMMED_CELL_DEATH,,PSMB5
REACTOME_PROGRAMMED_CELL_DEATH,,PSMB6
REACTOME_PROGRAMMED_CELL_DEATH,,PSMB7
REACTOME_PROGRAMMED_CELL_DEATH,,PSMB8
REACTOME_PROGRAMMED_CELL_DEATH,,PSMB9
REACTOME_PROGRAMMED_CELL_DEATH,,PSMC1
REACTOME_PROGRAMMED_CELL_DEATH,,PSMC2
REACTOME_PROGRAMMED_CELL_DEATH,,PSMC3
REACTOME_PROGRAMMED_CELL_DEATH,,PSMC4
REACTOME_PROGRAMMED_CELL_DEATH,,PSMC5
REACTOME_PROGRAMMED_CELL_DEATH,,PSMC6
REACTOME_PROGRAMMED_CELL_DEATH,,PSMD1
REACTOME_PROGRAMMED_CELL_DEATH,,PSMD10
REACTOME_PROGRAMMED_CELL_DEATH,,PSMD11
REACTOME_PROGRAMMED_CELL_DEATH,,PSMD12
REACTOME_PROGRAMMED_CELL_DEATH,,PSMD13
REACTOME_PROGRAMMED_CELL_DEATH,,PSMD14
REACTOME_PROGRAMMED_CELL_DEATH,,PSMD2
REACTOME_PROGRAMMED_CELL_DEATH,,PSMD3
REACTOME_PROGRAMMED_CELL_DEATH,,PSMD4
REACTOME_PROGRAMMED_CELL_DEATH,,PSMD5
REACTOME_PROGRAMMED_CELL_DEATH,,PSMD6
REACTOME_PROGRAMMED_CELL_DEATH,,PSMD7
REACTOME_PROGRAMMED_CELL_DEATH,,PSMD8
REACTOME_PROGRAMMED_CELL_DEATH,,PSMD9
REACTOME_PROGRAMMED_CELL_DEATH,,PSME1
REACTOME_PROGRAMMED_CELL_DEATH,,PSME2
REACTOME_PROGRAMMED_CELL_DEATH,,PSME3
REACTOME_PROGRAMMED_CELL_DEATH,,PSME4
REACTOME_PROGRAMMED_CELL_DEATH,,PSMF1
REACTOME_PROGRAMMED_CELL_DEATH,,PTK2
REACTOME_PROGRAMMED_CELL_DEATH,,RIPK1
REACTOME_PROGRAMMED_CELL_DEATH,,RIPK3
REACTOME_PROGRAMMED_CELL_DEATH,,ROCK1
REACTOME_PROGRAMMED_CELL_DEATH,,RPS27A
REACTOME_PROGRAMMED_CELL_DEATH,,SATB1
REACTOME_PROGRAMMED_CELL_DEATH,,SDCBP
REACTOME_PROGRAMMED_CELL_DEATH,,SEM1
REACTOME_PROGRAMMED_CELL_DEATH,,SEPTIN4
REACTOME_PROGRAMMED_CELL_DEATH,,SFN
REACTOME_PROGRAMMED_CELL_DEATH,,SPTAN1
REACTOME_PROGRAMMED_CELL_DEATH,,STAT3
REACTOME_PROGRAMMED_CELL_DEATH,,STK24
REACTOME_PROGRAMMED_CELL_DEATH,,STK26
REACTOME_PROGRAMMED_CELL_DEATH,,STUB1
REACTOME_PROGRAMMED_CELL_DEATH,,TFDP1
REACTOME_PROGRAMMED_CELL_DEATH,,TFDP2
REACTOME_PROGRAMMED_CELL_DEATH,,TICAM1
REACTOME_PROGRAMMED_CELL_DEATH,,TICAM2
